iteration,resolution,confignr
1.0,0.018655256222046408,3.0
2.0,0.043389697494395474,4.0
3.0,0.062142990970900314,5.0
4.0,0.08208617099571215,6.0
5.0,0.0973566857778035,7.0
6.0,0.10731771045641521,8.0
7.0,0.11613494986460467,9.0
8.0,0.13150374129393103,10.0
9.0,0.1409525197545821,11.0
10.0,0.14748645174736377,12.0
11.0,0.16914937913904954,13.0
12.0,0.17755827908238314,14.0
13.0,0.1899661820330285,15.0
14.0,0.19881590232258214,16.0
15.0,0.20880076230279765,17.0
16.0,0.21712492000731867,18.0
17.0,0.22470360470546583,19.0
18.0,0.23147025821361425,20.0
19.0,0.23926238382968884,21.0
20.0,0.24740481687327037,22.0
21.0,0.25488188476923235,23.0
22.0,0.26233198023660786,24.0
23.0,0.2695033145207325,25.0
24.0,0.2767321796234529,26.0
25.0,0.2858090022552714,27.0
26.0,0.29374649233472444,28.0
27.0,0.3009071429904853,29.0
28.0,0.3086686453817879,30.0
29.0,0.31590545239177237,31.0
30.0,0.3233624951406019,32.0
31.0,0.3302427491665944,33.0
32.0,0.3361210927183047,34.0
33.0,0.3449531902490697,35.0
34.0,0.35221569153581067,36.0
35.0,0.360753041859467,37.0
36.0,0.3691360129833225,38.0
37.0,0.3787401291096342,39.0
38.0,0.3927453390795198,40.0
39.0,0.401658200190319,41.0
40.0,0.41046162187661583,42.0
41.0,0.4190252227698511,43.0
42.0,0.4265864935528779,44.0
43.0,0.435528574862903,45.0
44.0,0.44513000753797294,46.0
45.0,0.4535902577953813,47.0
46.0,0.46185624999936126,48.0
47.0,0.4706343424948146,49.0
48.0,0.47777581032055816,50.0
49.0,0.48444507195942943,51.0
50.0,0.49100405153126697,52.0
51.0,0.49724982265790585,53.0
52.0,0.5041871772198884,54.0
53.0,0.5109155697372068,55.0
54.0,0.5172837284693993,56.0
55.0,0.5233938223578865,57.0
56.0,0.5319187730470442,58.0
57.0,0.5398978923014959,59.0
58.0,0.5464201741706914,60.0
59.0,0.5536384685108088,61.0
60.0,0.55992247423756,62.0
61.0,0.5656414112761088,63.0
62.0,0.5716178222269053,64.0
63.0,0.5765350387249705,65.0
64.0,0.58146270946175,66.0
65.0,0.5862766639630407,67.0
66.0,0.5912092546675923,68.0
67.0,0.5964997241929344,69.0
68.0,0.6025335654980115,70.0
69.0,0.6079494188235424,71.0
70.0,0.6129673073286013,72.0
71.0,0.6172720612744947,73.0
72.0,0.6210982358725657,74.0
73.0,0.6254633029922138,75.0
74.0,0.6299269363528666,76.0
75.0,0.6334769600537908,77.0
76.0,0.6368926859320089,78.0
77.0,0.6400993102301705,79.0
78.0,0.646765627664848,80.0
79.0,0.6533857972989344,81.0
80.0,0.6581118218439078,82.0
81.0,0.6625506923583172,83.0
82.0,0.6678781726182144,84.0
83.0,0.6737452318018606,85.0
84.0,0.6775666514415911,86.0
85.0,0.6807623730218102,87.0
86.0,0.6853469330307839,88.0
87.0,0.6886736969143862,89.0
88.0,0.6918607109526903,90.0
89.0,0.6951930785226914,91.0
90.0,0.6984603688264713,92.0
91.0,0.7015255954282554,93.0
92.0,0.7044659171873988,94.0
93.0,0.7072376171026424,95.0
94.0,0.7101203457481639,96.0
95.0,0.7136538637932215,97.0
96.0,0.7199841645467251,98.0
97.0,0.7235143525776788,99.0
98.0,0.7266778011782398,100.0
99.0,0.7295150171963206,101.0
100.0,0.7324843078008255,103.0
101.0,0.7370488270422644,105.0
102.0,0.7439055384797642,107.0
103.0,0.747334971890091,109.0
104.0,0.7513896685090671,111.0
105.0,0.7548958042944517,113.0
106.0,0.7600910008232652,115.0
107.0,0.7637434958498982,117.0
108.0,0.7690019370144198,119.0
109.0,0.7738833269298094,121.0
110.0,0.7779305116930813,123.0
111.0,0.7801604780500468,125.0
112.0,0.7853808279523538,127.0
113.0,0.7893630302376622,129.0
114.0,0.7932820414601076,131.0
115.0,0.7958484232699599,133.0
116.0,0.7975878333188505,135.0
117.0,0.8006952645875948,137.0
118.0,0.8036932828954633,139.0
119.0,0.8065791502148526,141.0
120.0,0.8095685760695868,143.0
121.0,0.812024063530764,145.0
122.0,0.81435677879105,147.0
123.0,0.8166563558607091,149.0
124.0,0.8188549078508988,151.0
125.0,0.8209852419282234,153.0
126.0,0.8233306486335624,155.0
127.0,0.8253175682554803,157.0
128.0,0.8272479159627714,159.0
129.0,0.8291142751225676,161.0
130.0,0.831183525684023,163.0
131.0,0.8328538257817932,165.0
132.0,0.834481059493034,167.0
133.0,0.8360676720407308,169.0
134.0,0.8380148217565302,171.0
135.0,0.8393569630138004,173.0
136.0,0.8409587016012472,175.0
137.0,0.8424478350342843,177.0
138.0,0.8439110642405381,179.0
139.0,0.845235816969496,181.0
140.0,0.8464811236883211,183.0
141.0,0.8476200571169101,185.0
142.0,0.848853609944194,187.0
143.0,0.8500206994582068,189.0
144.0,0.8511752135470942,191.0
145.0,0.8523959302463282,193.0
146.0,0.8533914610247578,195.0
147.0,0.8543131691639256,197.0
148.0,0.855295512308452,199.0
149.0,0.856165823935429,201.0
150.0,0.8565872916251664,200.0
