iteration,resolution,confignr
1.0,0.003074735975940109,2.0
2.0,0.011286008913825708,3.0
3.0,0.019504411694851488,4.0
4.0,0.02532126849725801,5.0
5.0,0.03087553124404981,6.0
6.0,0.03529046135887756,7.0
7.0,0.03970210365035645,8.0
8.0,0.04390730038564505,9.0
9.0,0.04810442401592738,10.0
10.0,0.052137927610621276,11.0
11.0,0.05613620013752593,12.0
12.0,0.05997703067959949,13.0
13.0,0.06383794648685881,14.0
14.0,0.06753297090507235,15.0
15.0,0.07146352509478462,16.0
16.0,0.07549997771893782,17.0
17.0,0.07925452204243293,18.0
18.0,0.08284771106377298,19.0
19.0,0.08651471311269662,20.0
20.0,0.09037761963810725,21.0
21.0,0.09392226600076908,22.0
22.0,0.09756886389750893,23.0
23.0,0.10126992155982659,24.0
24.0,0.10510585487768265,25.0
25.0,0.10883792412118329,26.0
26.0,0.11253848989627817,27.0
27.0,0.11676145695817297,28.0
28.0,0.12072064456308385,29.0
29.0,0.12439807065160337,30.0
30.0,0.12801983007952533,31.0
31.0,0.13162242822389425,32.0
32.0,0.13537435581230006,33.0
33.0,0.13894332514229854,34.0
34.0,0.1425216147337629,35.0
35.0,0.14606875856629672,36.0
36.0,0.1496835804142811,37.0
37.0,0.1533606023795177,38.0
38.0,0.15697742483185262,39.0
39.0,0.16066561576004135,40.0
40.0,0.16429838601017777,41.0
41.0,0.1679641417741512,42.0
42.0,0.17156297870433598,43.0
43.0,0.17512116446309864,44.0
44.0,0.17876982272737393,45.0
45.0,0.18239574566017872,46.0
46.0,0.18629626318545583,47.0
47.0,0.18973153378263904,48.0
48.0,0.19309431578518085,49.0
49.0,0.19646386894825008,50.0
50.0,0.199965264186021,51.0
51.0,0.20322485429836454,52.0
52.0,0.2064829755797243,53.0
53.0,0.2097138657078054,54.0
54.0,0.21288488788085586,55.0
55.0,0.21607412320472288,56.0
56.0,0.2192587049285594,57.0
57.0,0.22241225050121952,58.0
58.0,0.22559781853509384,59.0
59.0,0.2287276312768652,60.0
60.0,0.23180748333421253,61.0
61.0,0.234899333682036,62.0
62.0,0.23798964985880164,63.0
63.0,0.24107233857333393,64.0
64.0,0.24413720361303137,65.0
65.0,0.24718645689729168,66.0
66.0,0.2502132791563929,67.0
67.0,0.2532387380874623,68.0
68.0,0.25641417359902274,69.0
69.0,0.259813371909495,70.0
70.0,0.2629292344017856,71.0
71.0,0.2660213948365472,72.0
72.0,0.2690960523528014,73.0
73.0,0.2722766578286234,74.0
74.0,0.2755256127600235,75.0
75.0,0.2786613731640808,76.0
76.0,0.2830317978388123,77.0
77.0,0.28607476778242347,78.0
78.0,0.28909503595743696,79.0
79.0,0.29210056079604063,80.0
80.0,0.2950738375853844,81.0
81.0,0.2982023631311049,82.0
82.0,0.301385745857522,83.0
83.0,0.30440302325878105,84.0
84.0,0.30747619249612534,85.0
85.0,0.3106564435554947,86.0
86.0,0.31365653357041057,87.0
87.0,0.3166063198734033,88.0
88.0,0.31975315219359857,89.0
89.0,0.32281261913639436,90.0
90.0,0.3257531640751914,91.0
91.0,0.3286723113328147,92.0
92.0,0.3317546853860405,93.0
93.0,0.3347204087781756,94.0
94.0,0.337708150995736,95.0
95.0,0.3406468056246961,96.0
96.0,0.34384630035027824,97.0
97.0,0.3468242486339064,98.0
98.0,0.3497557664082232,99.0
99.0,0.3527472349867182,100.0
100.0,0.3560266459396441,101.0
101.0,0.3590009842007701,103.0
102.0,0.36490329989683695,105.0
103.0,0.3708024655052571,107.0
104.0,0.37647018599456683,109.0
105.0,0.38210588049488076,111.0
106.0,0.38797483376731196,113.0
107.0,0.3938419133619469,115.0
108.0,0.39945575702537467,117.0
109.0,0.4050945805998564,119.0
110.0,0.41062558580980135,121.0
111.0,0.41608369164283976,123.0
112.0,0.4211491120236736,125.0
113.0,0.4264796878646424,127.0
114.0,0.431693586243286,129.0
115.0,0.43690023292206154,131.0
116.0,0.4418921430688499,133.0
117.0,0.4470298023587905,135.0
118.0,0.4520492755110251,137.0
119.0,0.45698565426392057,139.0
120.0,0.4619253493889811,141.0
121.0,0.4666587401017795,143.0
122.0,0.47175410358684783,145.0
123.0,0.47657951371544915,147.0
124.0,0.48061958188270065,149.0
125.0,0.48545898402862386,151.0
126.0,0.4899527505217145,153.0
127.0,0.4926645246773654,155.0
128.0,0.4972567130574728,157.0
129.0,0.5018337594689891,159.0
130.0,0.5065575169174423,161.0
131.0,0.5109114694274947,163.0
132.0,0.5152806907165286,165.0
133.0,0.5196583807364219,167.0
134.0,0.523539115981529,169.0
135.0,0.5277257745684945,171.0
136.0,0.5319019909118193,173.0
137.0,0.5360442587836193,175.0
138.0,0.5396613575037252,177.0
139.0,0.5436399586574633,179.0
140.0,0.5473777128488964,181.0
141.0,0.5512444123998983,183.0
142.0,0.5549587786329809,185.0
143.0,0.5587508946747605,187.0
144.0,0.5622699307028254,189.0
145.0,0.5656927743669727,191.0
146.0,0.5690514489771121,193.0
147.0,0.5723990763420133,195.0
148.0,0.5758283776365986,197.0
149.0,0.579024397433001,199.0
150.0,0.582199967222141,201.0
151.0,0.5852611604006905,204.0
152.0,0.5888073225780097,207.0
153.0,0.5925716891851371,210.0
154.0,0.5961691366318331,213.0
155.0,0.5996104555748664,216.0
156.0,0.6029330095729438,219.0
157.0,0.6059826200128994,222.0
158.0,0.6088508406358748,225.0
159.0,0.6116592800183582,228.0
160.0,0.6142518186912461,231.0
161.0,0.6170093838532507,234.0
162.0,0.6196185915662418,237.0
163.0,0.622130459131396,240.0
164.0,0.6245772079869648,243.0
165.0,0.6269242511788918,246.0
166.0,0.6291430374156493,249.0
167.0,0.6313720360794746,252.0
168.0,0.6334147293499086,255.0
169.0,0.635339129234565,258.0
170.0,0.637202810481394,261.0
171.0,0.6389709160832763,264.0
